code,rate,base_rate_code,date
LSL,14.56959688,USD,2021-10-19
LSL,20.10722007,GBP,2021-10-19
LTL,3.437996,EUR,2021-10-19
LTL,2.95273979,USD,2021-10-19
LTL,4.07501932,GBP,2021-10-19
LVL,0.704298,EUR,2021-10-19
LVL,0.6048898046,USD,2021-10-19
LVL,0.8347967703,GBP,2021-10-19
LYD,5.303592,EUR,2021-10-19
LYD,4.555016099,USD,2021-10-19
LYD,6.286289998,GBP,2021-10-19
MAD,10.516906,EUR,2021-10-19
MAD,9.032496494,USD,2021-10-19
MAD,12.46557446,GBP,2021-10-19
MDL,20.144067,EUR,2021-10-19
MDL,17.30083111,USD,2021-10-19
MDL,23.87654384,GBP,2021-10-19
MGA,4604.967888,EUR,2021-10-19
MGA,3954.999341,USD,2021-10-19
MGA,5458.218425,GBP,2021-10-19
MKD,61.532341,EUR,2021-10-19
MKD,52.847354,USD,2021-10-19
MKD,72.93361551,GBP,2021-10-19
MMK,2189.084318,EUR,2021-10-19
MMK,1880.105844,USD,2021-10-19
MMK,2594.697867,GBP,2021-10-19
MNT,3319.447924,EUR,2021-10-19
MNT,2850.924191,USD,2021-10-19
MNT,3934.505573,GBP,2021-10-19
MOP,9.326812,EUR,2021-10-19
MOP,8.010378403,USD,2021-10-19
MOP,11.05496897,GBP,2021-10-19
MRO,415.6695,EUR,2021-10-19
MRO,356.9997965,USD,2021-10-19
MRO,492.6885439,GBP,2021-10-19
MUR,49.949576,EUR,2021-10-19
MUR,42.89943925,USD,2021-10-19
MUR,59.20468995,GBP,2021-10-19
MVR,17.988843,EUR,2021-10-19
MVR,15.44980637,USD,2021-10-19
MVR,21.32198024,GBP,2021-10-19
MWK,953.019404,EUR,2021-10-19
MWK,818.5054069,USD,2021-10-19
MWK,1129.603549,GBP,2021-10-19
MXN,23.597738,EUR,2021-10-19
MXN,20.26703345,USD,2021-10-19
MXN,27.97014257,GBP,2021-10-19
MYR,4.857046,EUR,2021-10-19
MYR,4.171497869,USD,2021-10-19
MYR,5.757003874,GBP,2021-10-19
MZN,74.319793,EUR,2021-10-19
MZN,63.8299201,USD,2021-10-19
MZN,88.09044349,GBP,2021-10-19
NAD,16.964525,EUR,2021-10-19
NAD,14.57006581,USD,2021-10-19
NAD,20.10786724,GBP,2021-10-19
NGN,478.415703,EUR,2021-10-19
NGN,410.8896818,USD,2021-10-19
NGN,567.0609369,GBP,2021-10-19
NIO,40.961416,EUR,2021-10-19
NIO,35.17991379,USD,2021-10-19
NIO,48.55112152,GBP,2021-10-19
NOK,9.725621,EUR,2021-10-19
NOK,8.352897476,USD,2021-10-19
NOK,11.52767295,GBP,2021-10-19
NPR,139.825167,EUR,2021-10-19
NPR,120.089533,USD,2021-10-19
NPR,165.7332519,GBP,2021-10-19
NZD,1.625857,EUR,2021-10-19
NZD,1.396375289,USD,2021-10-19
NZD,1.927110644,GBP,2021-10-19
OMR,0.448247,EUR,2021-10-19
OMR,0.3849791427,USD,2021-10-19
OMR,0.5313023009,GBP,2021-10-19
PAB,1.164426,EUR,2021-10-19
PAB,1.000073003,USD,2021-10-19
PAB,1.380181491,GBP,2021-10-19
PEN,4.59802,EUR,2021-10-19
PEN,3.949032113,USD,2021-10-19
PEN,5.449983169,GBP,2021-10-19
PGK,4.116527,EUR,2021-10-19
PGK,3.53549948,USD,2021-10-19
PGK,4.879274745,GBP,2021-10-19
PHP,59.143839,EUR,2021-10-19
PHP,50.7959773,USD,2021-10-19
PHP,70.10255003,GBP,2021-10-19
PKR,200.727906,EUR,2021-10-19
PKR,172.3961503,USD,2021-10-19
PKR,237.920607,GBP,2021-10-19
PLN,4.584464,EUR,2021-10-19
PLN,3.937389476,USD,2021-10-19
PLN,5.433915389,GBP,2021-10-19
PYG,8044.892983,EUR,2021-10-19
PYG,6909.395944,USD,2021-10-19
PYG,9535.524281,GBP,2021-10-19
QAR,4.239337,EUR,2021-10-19
QAR,3.640975453,USD,2021-10-19
QAR,5.024840104,GBP,2021-10-19
RON,4.949615,EUR,2021-10-19
RON,4.25100121,USD,2021-10-19
RON,5.866724904,GBP,2021-10-19
RSD,117.412276,EUR,2021-10-19
RSD,100.8401113,USD,2021-10-19
RSD,139.1674956,GBP,2021-10-19
RUB,82.520101,EUR,2021-10-19
RUB,70.872795,USD,2021-10-19
RUB,97.8101795,GBP,2021-10-19
RWF,1164.340896,EUR,2021-10-19
RWF,999.9999107,USD,2021-10-19
RWF,1380.080619,GBP,2021-10-19
SAR,4.367271,EUR,2021-10-19
SAR,3.750852199,USD,2021-10-19
SAR,5.176478885,GBP,2021-10-19
SBD,9.371027,EUR,2021-10-19
SBD,8.048352673,USD,2021-10-19
SBD,11.10737653,GBP,2021-10-19
SCR,14.967775,EUR,2021-10-19
SCR,12.85514725,USD,2021-10-19
SCR,17.74114115,GBP,2021-10-19
SDG,511.729471,EUR,2021-10-19
SDG,439.5013755,USD,2021-10-19
SDG,606.5473843,GBP,2021-10-19
SEK,10.025778,EUR,2021-10-19
SEK,8.610688793,USD,2021-10-19
SEK,11.88344578,GBP,2021-10-19
SGD,1.565422,EUR,2021-10-19
SGD,1.344470391,USD,2021-10-19
SGD,1.855477695,GBP,2021-10-19
SHP,1.603765,EUR,2021-10-19
SHP,1.377401466,USD,2021-10-19
SHP,1.900925237,GBP,2021-10-19
SLL,12359.47854,EUR,2021-10-19
SLL,10614.99899,USD,2021-10-19
SLL,14649.55568,GBP,2021-10-19
SOS,679.975426,EUR,2021-10-19
SOS,584.0002422,USD,2021-10-19
SOS,805.9674875,GBP,2021-10-19
SRD,24.948342,EUR,2021-10-19
SRD,21.42700635,USD,2021-10-19
SRD,29.57099882,GBP,2021-10-19
STD,24099.50575,EUR,2021-10-19
STD,20697.97915,USD,2021-10-19
STD,28564.88243,GBP,2021-10-19
SVC,10.189225,EUR,2021-10-19
SVC,8.751066054,USD,2021-10-19
SVC,12.07717773,GBP,2021-10-19
SYP,1463.543932,EUR,2021-10-19
SYP,1256.971911,USD,2021-10-19
SYP,1734.722728,GBP,2021-10-19
SZL,16.964439,EUR,2021-10-19
SZL,14.56999195,USD,2021-10-19
SZL,20.1077653,GBP,2021-10-19
THB,38.818859,EUR,2021-10-19
THB,33.33976816,USD,2021-10-19
THB,46.01157198,GBP,2021-10-19
TJS,13.16881,EUR,2021-10-19
TJS,11.3100973,USD,2021-10-19
TJS,15.60884747,GBP,2021-10-19
TMT,4.081015,EUR,2021-10-19
TMT,3.504999824,USD,2021-10-19
TMT,4.837182757,GBP,2021-10-19
TND,3.280535,EUR,2021-10-19
TND,2.817503635,USD,2021-10-19
TND,3.888382507,GBP,2021-10-19
TOP,2.617496,EUR,2021-10-19
TOP,2.248049326,USD,2021-10-19
TOP,3.102489581,GBP,2021-10-19
TRY,10.848856,EUR,2021-10-19
TRY,9.317593385,USD,2021-10-19
TRY,12.85903119,GBP,2021-10-19
TTD,7.911804,EUR,2021-10-19
TTD,6.795091816,USD,2021-10-19
TTD,9.377775355,GBP,2021-10-19
TWD,32.413507,EUR,2021-10-19
TWD,27.83850006,USD,2021-10-19
TWD,38.41937782,GBP,2021-10-19
TZS,2678.098176,EUR,2021-10-19
TZS,2300.097803,USD,2021-10-19
TZS,3174.320682,GBP,2021-10-19
UAH,30.565378,EUR,2021-10-19
UAH,26.25122537,USD,2021-10-19
UAH,36.22881059,GBP,2021-10-19
UGX,4225.623556,EUR,2021-10-19
UGX,3629.197594,USD,2021-10-19
UGX,5008.585708,GBP,2021-10-19
USD,1.164341,EUR,2021-10-19
USD,1,USD,2021-10-19
USD,1.380080742,GBP,2021-10-19
UYU,51.123324,EUR,2021-10-19
UYU,43.9075185,USD,2021-10-19
UYU,60.59592071,GBP,2021-10-19
UZS,12458.44728,EUR,2021-10-19
UZS,10699.99878,USD,2021-10-19
UZS,14766.86225,GBP,2021-10-19
VEF,248971272611,EUR,2021-10-19
VEF,213830203189,USD,2021-10-19
VEF,295102945456,GBP,2021-10-19
VND,26500.65246,EUR,2021-10-19
VND,22760.21583,USD,2021-10-19
VND,31410.93555,GBP,2021-10-19
VUV,130.751329,EUR,2021-10-19
VUV,112.2964226,USD,2021-10-19
VUV,154.9781302,GBP,2021-10-19
WST,3.000498,EUR,2021-10-19
WST,2.576992479,USD,2021-10-19
WST,3.556457692,GBP,2021-10-19
XAF,655.107913,EUR,2021-10-19
XAF,562.6426562,USD,2021-10-19
XAF,776.4922944,GBP,2021-10-19
XAG,0.048666,EUR,2021-10-19
XAG,0.04179703369,USD,2021-10-19
XAG,0.05768328126,GBP,2021-10-19
XAU,0.000657,EUR,2021-10-19
XAU,0.0005642676845,USD,2021-10-19
XAU,0.0007787349646,GBP,2021-10-19
XCD,3.146689,EUR,2021-10-19
XCD,2.702549339,USD,2021-10-19
XCD,3.729736297,GBP,2021-10-19
XDR,0.82523,EUR,2021-10-19
XDR,0.7087528482,USD,2021-10-19
XDR,0.9781361565,GBP,2021-10-19
XOF,657.852549,EUR,2021-10-19
